iter	Passed	Remaining
0	3	3438
1	4	2450
2	6	2294
3	8	2114
4	15	3172
5	18	3110
6	21	3010
7	23	2875
8	24	2706
9	29	2871
10	30	2752
11	32	2650
12	33	2568
13	38	2692
14	44	2937
15	53	3266
16	62	3617
17	65	3561
18	67	3481
19	69	3421
20	78	3642
21	79	3540
22	82	3493
23	83	3408
24	85	3318
25	86	3239
26	89	3240
27	91	3177
28	93	3121
29	95	3071
30	96	3029
31	98	2980
32	108	3188
33	113	3219
34	116	3211
35	118	3167
36	127	3308
37	128	3256
38	131	3243
39	134	3220
40	141	3307
41	143	3270
42	145	3237
43	146	3189
44	148	3149
45	150	3111
46	153	3116
47	155	3083
48	157	3053
49	159	3037
50	161	3004
51	170	3104
52	171	3070
53	173	3047
54	175	3015
55	178	3001
56	184	3051
57	186	3021
58	188	3001
59	189	2971
60	190	2938
61	192	2907
62	193	2879
63	200	2928
64	201	2904
65	204	2900
66	206	2877
67	207	2848
68	208	2819
69	212	2824
70	214	2802
71	215	2778
72	216	2752
73	218	2729
74	219	2705
75	220	2682
76	221	2660
77	226	2679
78	227	2657
79	229	2641
80	233	2647
81	234	2630
82	235	2604
83	241	2629
84	245	2638
85	246	2622
86	248	2605
87	249	2588
88	250	2568
89	252	2548
90	256	2561
91	258	2550
92	260	2539
93	262	2530
94	263	2513
95	264	2495
96	266	2478
97	269	2483
98	271	2473
99	273	2458
100	274	2442
101	275	2429
102	277	2415
103	278	2400
104	279	2384
105	281	2371
106	282	2356
107	288	2383
108	293	2396
109	295	2393
110	297	2379
111	298	2365
112	304	2389
113	306	2379
114	307	2365
115	308	2354
116	309	2339
117	311	2325
118	312	2311
119	313	2300
120	316	2300
121	320	2305
122	322	2298
123	323	2287
124	324	2274
125	326	2262
126	327	2249
127	328	2237
128	333	2249
129	334	2239
130	336	2230
131	337	2219
132	338	2207
133	340	2198
134	341	2188
135	342	2176
136	343	2165
137	349	2186
138	351	2176
139	352	2167
140	354	2157
141	354	2144
142	356	2136
143	362	2155
144	363	2145
145	365	2138
146	367	2129
147	368	2119
148	369	2109
149	370	2099
150	371	2090
151	382	2133
152	386	2140
153	391	2148
154	393	2146
155	395	2138
156	396	2128
157	397	2119
158	399	2110
159	400	2101
160	400	2089
161	402	2080
162	407	2094
163	410	2094
164	412	2087
165	414	2079
166	415	2071
167	416	2064
168	418	2056
169	424	2071
170	425	2063
171	426	2054
172	428	2046
173	429	2037
174	430	2030
175	432	2022
176	433	2017
177	438	2026
178	440	2020
179	441	2011
180	442	2003
181	444	1996
182	445	1989
183	446	1982
184	448	1974
185	450	1972
186	452	1967
187	454	1961
188	455	1953
189	456	1946
190	458	1940
191	459	1933
192	460	1926
193	463	1926
194	469	1940
195	471	1936
196	474	1933
197	476	1931
198	478	1924
199	479	1917
200	485	1929
201	486	1922
202	487	1915
203	488	1907
204	490	1901
205	492	1898
206	494	1895
207	497	1895
208	499	1891
209	500	1884
210	502	1877
211	503	1871
212	505	1867
213	506	1862
214	508	1856
215	509	1849
216	515	1858
217	516	1851
218	517	1845
219	518	1839
220	520	1835
221	523	1832
222	524	1827
223	529	1834
224	531	1830
225	533	1826
226	534	1820
227	536	1815
228	537	1809
229	538	1803
230	540	1797
231	543	1800
232	545	1794
233	546	1789
234	547	1783
235	549	1780
236	551	1775
237	553	1770
238	554	1764
239	557	1766
240	560	1766
241	562	1760
242	563	1755
243	564	1749
244	565	1743
245	567	1738
246	568	1732
247	569	1726
248	572	1727
249	575	1726
250	577	1722
251	578	1716
252	579	1712
253	581	1707
254	582	1702
255	584	1697
256	585	1692
257	590	1697
258	591	1692
259	594	1692
260	596	1689
261	597	1684
262	599	1679
263	605	1688
264	607	1684
265	608	1679
266	610	1675
267	611	1669
268	612	1664
269	613	1659
270	614	1654
271	619	1659
272	622	1656
273	624	1653
274	625	1649
275	626	1644
276	628	1639
277	629	1634
278	630	1629
279	634	1631
280	636	1627
281	637	1622
282	638	1617
283	640	1613
284	641	1608
285	642	1603
286	643	1598
287	645	1594
288	646	1591
289	651	1594
290	653	1592
291	655	1589
